#kHz

#center
0.004
#Number Left Right
1 0.023 0.013
2 0.041 0.034
3 0.065 0.055
4 0.084 0.082
5 0.104 0.098
6 0.143 0.138
7 0.184 0.182

#center
0.004
#Number Left Right
1 0.026 0.015
2 0.042 0.035
3 0.060 0.055
4 0.084 0.076
5 0.106 0.096
6 0.144 0.139
7 0.186 0.184

#center
0.004
#Number Left Right
1 0.028 0.014
2 0.042 0.034
3 0.064 0.057
4 0.087 0.076
5 0.105 0.099
6 0.143 0.141
7 0.185 0.184

#center
0.04
#Number Left Right
1 0.025 0.015
2 0.045 0.036
3 0.065 0.058
4 0.084 0.079
5 0.105 0.096
6 0.146 0.141
7 0.185 0.182
